section,number,semester,year
MATH,221,F,1
ECON,102,F,1
PSYC,100,F,1
HIST,100,F,1
CS,101,S,1
MATH,231,S,1
ECON,103,S,1
PHYS,211,S,1
MATH,241,F,2
MATH,210,F,2
HIST,172,F,2
SPAN,141,F,2
ECON,202,F,2
MATH,408,S,2
ACCY,200,S,2
STAT,400,S,2
ECON,203,S,2
MATH,409,F,3
MATH,471,F,3
FIN,230,F,3
FIN,221,F,3
MATH,472,S,3
MATH,410,S,3
FIN,300,S,3
ECON,220,S,3
MATH,476,F,4
FIN,321,F,4
PHYS,212,F,4
ECON,302,F,4
MATH,478,S,4
MATH,469,S,4
ECON,303,F,4
ECON,420,F,4
